Date,City,Pollutant,Concentration,Year,Month,YearMonth,Period
2020-01-01,Edinburgh,O3,47,2020,1,2020-01-01,Pandemic
2020-01-01,Edinburgh,NO2,11,2020,1,2020-01-01,Pandemic
2020-01-01,Edinburgh,PM10,14,2020,1,2020-01-01,Pandemic
2020-01-01,Edinburgh,PM2.5,11,2020,1,2020-01-01,Pandemic
2020-01-01,London,O3,11,2020,1,2020-01-01,Pandemic
2020-01-01,London,NO2,40,2020,1,2020-01-01,Pandemic
2020-01-01,London,CO,0.18,2020,1,2020-01-01,Pandemic
2020-01-01,London,PM10,37,2020,1,2020-01-01,Pandemic
2020-01-01,London,PM2.5,32,2020,1,2020-01-01,Pandemic
2020-01-01,Manchester,O3,16,2020,1,2020-01-01,Pandemic
2020-01-01,Manchester,NO2,30,2020,1,2020-01-01,Pandemic
2020-01-01,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-01,Manchester,PM10,28,2020,1,2020-01-01,Pandemic
2020-01-01,Manchester,PM2.5,22,2020,1,2020-01-01,Pandemic
2020-01-01,Sheffield,O3,29,2020,1,2020-01-01,Pandemic
2020-01-01,Sheffield,NO2,22,2020,1,2020-01-01,Pandemic
2020-01-01,Sheffield,PM10,29,2020,1,2020-01-01,Pandemic
2020-01-01,Sheffield,PM2.5,25,2020,1,2020-01-01,Pandemic
2020-01-02,Edinburgh,O3,68,2020,1,2020-01-01,Pandemic
2020-01-02,Edinburgh,NO2,5,2020,1,2020-01-01,Pandemic
2020-01-02,Edinburgh,PM10,7,2020,1,2020-01-01,Pandemic
2020-01-02,Edinburgh,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-02,London,O3,45,2020,1,2020-01-01,Pandemic
2020-01-02,London,NO2,18,2020,1,2020-01-01,Pandemic
2020-01-02,London,CO,0.16,2020,1,2020-01-01,Pandemic
2020-01-02,London,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-02,London,PM2.5,7,2020,1,2020-01-01,Pandemic
2020-01-02,Manchester,O3,24,2020,1,2020-01-01,Pandemic
2020-01-02,Manchester,NO2,31,2020,1,2020-01-01,Pandemic
2020-01-02,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-02,Manchester,PM10,11,2020,1,2020-01-01,Pandemic
2020-01-02,Manchester,PM2.5,7,2020,1,2020-01-01,Pandemic
2020-01-02,Sheffield,O3,52,2020,1,2020-01-01,Pandemic
2020-01-02,Sheffield,NO2,10,2020,1,2020-01-01,Pandemic
2020-01-02,Sheffield,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-02,Sheffield,PM2.5,7,2020,1,2020-01-01,Pandemic
