Date,City,Period,O3,NO2,PM10,PM2.5
2020-01-01,Edinburgh,Pandemic,47,11,14,11
2020-01-01,London,Pandemic,11,40,37,32
2020-01-01,Manchester,Pandemic,16,30,28,22
2020-01-01,Sheffield,Pandemic,29,22,29,25
2020-01-02,Edinburgh,Pandemic,68,5,7,4
2020-01-02,London,Pandemic,45,18,10,7
2020-01-02,Manchester,Pandemic,24,31,11,7
2020-01-02,Sheffield,Pandemic,52,10,9,7
2020-01-03,Edinburgh,Pandemic,61,27,11,5
2020-01-03,London,Pandemic,NA,24,10,5
2020-01-03,Manchester,Pandemic,35,31,16,8
2020-01-03,Sheffield,Pandemic,65,11,11,6
2020-01-04,Edinburgh,Pandemic,67,17,6,3
2020-01-04,London,Pandemic,NA,31,10,6
2020-01-04,Manchester,Pandemic,38,30,12,6
2020-01-04,Sheffield,Pandemic,64,13,7,5
2020-01-05,Edinburgh,Pandemic,68,6,2,1
2020-01-05,London,Pandemic,NA,18,5,4
2020-01-05,Manchester,Pandemic,33,29,6,4
2020-01-05,Sheffield,Pandemic,63,13,4,3
2020-01-06,Edinburgh,Pandemic,73,11,6,3
2020-01-06,London,Pandemic,NA,20,11,7
2020-01-06,Manchester,Pandemic,33,36,13,7
2020-01-06,Sheffield,Pandemic,61,13,10,6
2020-01-07,Edinburgh,Pandemic,71,6,9,5
2020-01-07,London,Pandemic,NA,21,15,9
2020-01-07,Manchester,Pandemic,27,32,12,7
2020-01-07,Sheffield,Pandemic,52,17,10,6
2020-01-08,Edinburgh,Pandemic,68,16,10,6
2020-01-08,London,Pandemic,NA,28,19,11
2020-01-08,Manchester,Pandemic,27,43,28,13
2020-01-08,Sheffield,Pandemic,50,26,22,12
2020-01-09,Edinburgh,Pandemic,36,41,10,6
2020-01-09,London,Pandemic,NA,17,8,4
2020-01-09,Manchester,Pandemic,30,35,10,5
2020-01-09,Sheffield,Pandemic,NA,19,7,5
2020-01-10,Edinburgh,Pandemic,54,24,7,4
2020-01-10,London,Pandemic,NA,28,9,6
2020-01-10,Manchester,Pandemic,26,46,16,7
2020-01-10,Sheffield,Pandemic,48,24,10,5
2020-01-11,Edinburgh,Pandemic,73,10,2,1
2020-01-11,London,Pandemic,68,11,12,6
2020-01-11,Manchester,Pandemic,41,29,6,3
2020-01-11,Sheffield,Pandemic,63,13,5,3
2020-01-12,Edinburgh,Pandemic,66,13,6,3
2020-01-12,London,Pandemic,61,15,6,3
2020-01-12,Manchester,Pandemic,31,31,7,4
2020-01-12,Sheffield,Pandemic,52,23,5,3
2020-01-13,Edinburgh,Pandemic,72,10,6,3
2020-01-13,London,Pandemic,60,16,8,5
2020-01-13,Manchester,Pandemic,38,32,10,5
2020-01-13,Sheffield,Pandemic,59,18,9,5
2020-01-14,Edinburgh,Pandemic,71,10,7,3
2020-01-14,London,Pandemic,67,13,9,5
2020-01-14,Manchester,Pandemic,36,36,9,5
2020-01-14,Sheffield,Pandemic,61,16,8,4
2020-01-15,Edinburgh,Pandemic,73,7,9,5
2020-01-15,London,Pandemic,53,25,9,4
2020-01-15,Manchester,Pandemic,27,44,16,7
2020-01-15,Sheffield,Pandemic,63,14,10,4
2020-01-16,Edinburgh,Pandemic,NA,NA,6,3
2020-01-16,London,Pandemic,51,20,12,6
2020-01-16,Manchester,Pandemic,35,32,11,5
2020-01-16,Sheffield,Pandemic,52,20,15,6
2020-01-17,Edinburgh,Pandemic,58,23,10,5
2020-01-17,London,Pandemic,52,24,7,4
2020-01-17,Manchester,Pandemic,24,49,12,7
2020-01-17,Sheffield,Pandemic,54,22,10,5
2020-01-18,Edinburgh,Pandemic,45,44,9,4
2020-01-18,London,Pandemic,22,44,13,8
2020-01-18,Manchester,Pandemic,25,46,20,10
2020-01-18,Sheffield,Pandemic,58,18,13,6
2020-01-19,Edinburgh,Pandemic,61,16,8,4
2020-01-19,London,Pandemic,10,54,20,14
2020-01-19,Manchester,Pandemic,1,59,22,19
2020-01-19,Sheffield,Pandemic,23,52,15,9
2020-01-20,Edinburgh,Pandemic,61,16,10,6
2020-01-20,London,Pandemic,2,67,33,25
2020-01-20,Manchester,Pandemic,2,63,22,16
2020-01-20,Sheffield,Pandemic,41,34,10,6
2020-01-21,Edinburgh,Pandemic,52,24,5,3
2020-01-21,London,Pandemic,2,70,37,28
2020-01-21,Manchester,Pandemic,5,61,25,16
2020-01-21,Sheffield,Pandemic,15,67,25,18
2020-01-22,Edinburgh,Pandemic,46,31,6,4
2020-01-22,London,Pandemic,7,53,29,23
2020-01-22,Manchester,Pandemic,4,48,22,17
2020-01-22,Sheffield,Pandemic,8,70,25,18
2020-01-23,Edinburgh,Pandemic,60,20,4,2
2020-01-23,London,Pandemic,20,41,16,13
2020-01-23,Manchester,Pandemic,4,50,21,16
2020-01-23,Sheffield,Pandemic,13,50,21,16
2020-01-24,Edinburgh,Pandemic,54,19,3,2
2020-01-24,London,Pandemic,10,43,18,14
2020-01-24,Manchester,Pandemic,20,36,14,11
2020-01-24,Sheffield,Pandemic,43,24,8,6
2020-01-25,Edinburgh,Pandemic,61,9,4,3
2020-01-25,London,Pandemic,28,29,27,20
2020-01-25,Manchester,Pandemic,11,38,19,14
2020-01-25,Sheffield,Pandemic,36,23,16,13
2020-01-26,Edinburgh,Pandemic,63,13,8,5
2020-01-26,London,Pandemic,44,20,22,14
2020-01-26,Manchester,Pandemic,23,32,17,11
2020-01-26,Sheffield,Pandemic,39,23,16,11
2020-01-27,Edinburgh,Pandemic,67,16,7,3
