"Daily Mean data	    supplied by UK-air on 15/12/2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edinburgh St Leonards,,,,,,,,,,,,London N. Kensington,,,,,,,,,,,,Manchester Piccadilly,,,,,,,,,,Sheffield Devonshire Green,,,,,,,
Latitude,55.945589,,,,,,,,,,,,51.52105,,,,,,,,,,,,53.48152,,,,,,,,,,53.378622,,,,,,,
Longitude,-3.182186,,,,,,,,,,,,-0.213419,,,,,,,,,,,,-2.237881,,,,,,,,,,-1.478096,,,,,,,
Site Type,Urban Background,,,,,,,,,,,,Urban Background,,,,,,,,,,,,Urban Background,,,,,,,,,,Urban Background,,,,,,,
Zone,Central Scotland,,,,,,,,,,,,Greater London,,,,,,,,,,,,North West & Merseyside,,,,,,,,,,Yorkshire & Humberside,,,,,,,
Agglomeration,Edinburgh Urban Area,,,,,,,,,,,,Greater London Urban Area,,,,,,,,,,,,Greater Manchester Urban Area,,,,,,,,,,Sheffield Urban Area,,,,,,,
Local Authority,Edinburgh,,,,,,,,,,,,Kensington,,,,,,,,,,,,Manchester,,,,,,,,,,Sheffield,,,,,,,
Date,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
1/1/2020,47,V ugm-3,11,V ugm-3,No data,V ugm-3,No data,V mgm-3,14,V ugm-3 (FIDAS),11,V ugm-3 (Ref.eq),11,V ugm-3,40,V ugm-3,No data,V ugm-3,0.18,V mgm-3,37,V ugm-3 (FIDAS),32,V ugm-3 (Ref.eq),16,V ugm-3,30,V ugm-3,1,V ugm-3,28,V ugm-3 (FIDAS),22,V ugm-3 (Ref.eq),29,V ugm-3,22,V ugm-3,29,V ugm-3 (FIDAS),25,V ugm-3 (Ref.eq)
1/2/2020,68,V ugm-3,5,V ugm-3,No data,V ugm-3,No data,V mgm-3,7,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),45,V ugm-3,18,V ugm-3,No data,V ugm-3,0.16,V mgm-3,10,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),24,V ugm-3,31,V ugm-3,1,V ugm-3,11,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),52,V ugm-3,10,V ugm-3,9,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq)
1/3/2020,61,V ugm-3,27,V ugm-3,No data,V ugm-3,No data,V mgm-3,11,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),No data,V ugm-3,24,V ugm-3,3,V ugm-3,0.13,V mgm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),35,V ugm-3,31,V ugm-3,1,V ugm-3,16,V ugm-3 (FIDAS),8,V ugm-3 (Ref.eq),65,V ugm-3,11,V ugm-3,11,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
